,Current Market Cap,Last Price,Alpha,Beta,Revenue Growth Year over Year,ROA,ROE,Profit Margin,Asset Turnover,Financial Leverage,EBIT/Interest,Price Earnings Ratio (P/E),Price to Sales Ratio,Short and Long Term Debt,Total Equity,Operating Return on Total Invested Capital,Weighted Average Cost of Cap,Free Cash Flow,Price to Book Ratio,Industry Group,WACC Economic Value Added,Total Compensation Paid to Executives
CMI UN Equity,29774461343,211.02,0.012572029,0.812503338,21.25082025,8.328221901,23.70057419,8.871404188,1.032792456,2.802007741,24.37837838,15.58260451,1.244633434,4613,9401,18.16134539,7.571414795,1522,3.529507184,Auto Manufacturers,775.0448243,37885989
CMS UN Equity,20639784387,71.14,0.099149905,0.586844742,14.1944531,2.733352719,12.93194141,18.46090872,0.263072371,4.907922373,2.264822134,25.78756447,2.674840282,12500,7188,5.571136569,5.656423813,-257,3.112777349,Electric,321.8897603,15398971
CNC UN Equity,47943186324,81.97,0.075893112,0.991582751,13.37983171,3.95150858,11.31198806,1.069200362,1.73885342,2.798166185,2.682706767,15.96271949,0.358926825,22661,27022,4.176363426,7.660990195,3295,1.764528805,Healthcare-Services,566.6101261,80066141
CNP UN Equity,19934124298,31.67,0.385384262,0.832994521,12.59099488,1.884457445,8.636803094,17.79214559,#N/A N/A,4.868952303,2.576559546,29.0661124,#N/A N/A,17019,9428,#N/A N/A,6.383188708,-3142,2.175739396,Electric,-393.4087239,79404187
COF UN Equity,48757933877,124.05,0.240985766,1.16344595,1.232500079,2.589105973,20.63222708,38.67886242,0.076895866,7.656225065,#N/A N/A,4.845694916,1.612462415,43086,61029,12.8453319,7.23188124,11612,0.961056857,Diversified Finan Serv,3259.260856,47480116
COO UN Equity,16886399405,342.27,-0.140659735,1.035060048,20.22296269,6.401593912,10.10159684,100.7596236,0.301994055,1.51802831,21.8961039,25.6111342,5.393129504,1746.4,6942,6.850334035,8.713584944,524.2,2.405884347,Healthcare-Products,-2280.696929,22085308
COP UN Equity,1.52782E+11,118.12,0.780091763,0.981752336,143.9735945,12.87016458,24.66123218,17.62896046,0.607499393,2.036794897,12.56131078,13.75865612,2.900372482,20601,45406,26.15471051,8.528228182,11672,3.104195976,Oil&Gas,3497.140602,60783828
COST UW Equity,2.10961E+11,476.25,0.219264194,1.030206442,17.49090015,9.674664135,32.14961229,2.55551756,3.591929066,3.20307967,39.22807018,36.13519914,0.970856354,10427,18078,26.68146817,9.704570852,5370,10.56653452,Retail,2825.766681,27637895
CPB UN Equity,13796901604,45.73,-0.10096354,0.561451674,-2.473823496,6.721385112,26.24362245,11.82161397,0.678018702,4.218022747,7.219626168,16.89269043,1.666064541,5292,3154,15.51153263,5.791592609,760,4.122525332,Food,385.8078743,23398985
CPRT UW Equity,27394141110,115.26,-0.027722882,1.127107143,22.07706534,21.97919826,28.11807513,34.7814735,0.692211659,1.332078581,56.12811775,25.99568997,8.11963479,518.069,3529.201,31.12492544,10.44316003,527.895,6.291524499,Distribution/Wholesale,575.8521709,16010039
CPT UN Equity,15292133370,143.56,0.25383389,0.724075735,9.432629426,1.830928923,3.739186813,26.33242557,0.153937404,1.985730389,1.984313725,104.5125436,12.39862244,3180.367,4266.255,3.276020565,7.145803032,148.753,3.599325776,REITS,-424.8888853,19013638
CRL UN Equity,12344564883,242.98,0.099074639,1.12121737,21.07527772,7.364663345,19.79228493,11.04419009,0.563415029,2.69175889,7.980814504,26.35051211,3.377936287,2952.598,2591.992,11.49486393,9.643944054,532.027,4.728932437,Healthcare-Services,-39.96081984,31277202
CRM UN Equity,1.83985E+11,184.91,-0.147417009,1.203430533,24.65650292,0.339820274,0.528967006,5.450702099,0.353879182,1.621195696,2.537037037,680.9728423,6.441360208,14370,58131,0.350540963,10.90580097,5283,3.121824574,Software,-7670.60827,107574337
CSCO UW Equity,1.87379E+11,45.25,-0.230344221,0.926819503,1.048660271,12.95795689,30.01252833,21.25938416,0.552575619,2.42881495,29.56912442,15.75989512,3.677707601,12694,41275,26.76733664,8.911672089,14762,4.647085396,Telecommunications,6514.237638,87239860
CSX UW Equity,69815487059,32.11,0.072248764,0.885156631,18.32183691,8.694200439,26.4586292,30.19485705,0.327460571,3.020721297,7.747922438,20.62136428,5.450787038,16908,13500,19.05280348,7.858296245,3308,5.295453971,Transportation,2180.823734,44467678
CTAS UW Equity,40529873998,396.09,0.054202963,1.136243105,0.440641796,14.26521472,33.13531428,15.61150816,0.922183249,2.297644867,14.10744323,35.90911802,5.401276973,2716.527,3687.847,24.03209623,10.1065034,1217.27,12.31547454,Commercial Services,645.242774,19706637
CTLT UN Equity,19860410924,110.82,0.210920438,1.070439219,29.20531299,4.940281263,11.30175474,14.63231616,0.492690311,2.478572896,#N/A N/A,41.42751071,4.109310404,3330,4274,9.074702329,9.083219325,-253,4.282551802,Healthcare-Services,-137.9434455,25125258
CTRA UN Equity,28348225494,35.18,0.617974997,0.696503341,135.26603,14.04800566,24.83195614,33.57494926,0.375359014,1.750322488,25.22580645,13.92009293,5.224097847,3513,11738,23.30784268,7.115676078,939,2.411716405,Oil&Gas,2926.258833,59749647
CTSH UW Equity,38337547523,73.56,0.084550627,0.818118513,11.13980303,12.95829178,19.20034767,11.54698222,1.110576641,1.523415254,314,17.52840802,2.040762386,1655,11991,21.97307707,8.276384044,2216,3.200931991,Computers,1121.712853,42305622
CTVA UN Equity,44969840000,62,0.532154381,0.916633844,10.11465147,2.650794769,4.49496357,11.23602683,0.377497593,1.692817878,79.2,40.43334107,2.822960834,1576,25623,8.015293953,8.62357981,2154,1.750071606,Biotechnology,-637.4438858,38324337
CTXS UW Equity,12836470296,101.41,-0.314115494,0.547502637,-0.603392344,4.24155979,62.5382036,9.558058791,0.484685,17.99494086,2.577756474,44.99384331,3.887791488,3549.347,547.257,5.862253197,6.092544208,588.219,19.22132643,Software,59.58459337,48032475
CVS UN Equity,1.24443E+11,94.9,0.118267842,1.018009782,8.710263262,4.305641933,13.76326359,2.707874746,1.296664281,3.209893122,5.27087495,12.67176843,0.417293284,75999,75381,8.626341078,7.421527183,15745,1.678713287,Pharmaceuticals,-1615.389698,83556809
CVX UN Equity,3.48951E+11,177.6,0.485154301,0.722935438,64.7129807,8.795992606,15.51968127,10.04138658,0.720792838,1.770327418,20.87741935,15.871483,1.930649311,34872,139940,11.98464763,7.183661679,21131,2.386494791,Oil&Gas,7155.487227,57227037
CZR UW Equity,10846926633,50.6,-0.100741535,1.681354642,163.7816979,-1.963662234,-17.09073589,-10.64785789,0.275543151,7.836562763,0.636165577,#N/A N/A,1.068958846,26991,4541,4.027809511,8.560959628,652,2.860871776,Entertainment,-955.391487,51406603
D UN Equity,67100170979,82.71,-0.075675048,0.558291674,-1.467682755,3.106681064,12.26279002,23.54626182,0.145508846,3.969038676,2.229689808,22.19435046,4.659603417,41089,28918,4.592299022,5.364525863,-2024,2.606279258,Electric,-641.2099392,33172625
DAL UN Equity,24706375898,38.54,-0.045265496,1.189487219,74.8990933,-1.423719294,-60.1918018,0.93648617,0.478073431,26.64729755,1.474589523,#N/A N/A,0.699469502,34679,3887,7.300804227,6.572181054,17,8.260477255,Airlines,-733.3470921,49053345
DD UN Equity,34030596659,66.92,-0.000124113,0.958198965,16.14590598,3.491078039,6.09695675,38.83384375,0.342307156,1.795755886,4.693333333,21.53932751,2.182102054,11257,27050,5.209968824,7.85313298,1390,1.300074285,Chemicals,-1554.048902,50740747
DE UN Equity,1.10334E+11,361,0.550396323,1.090825677,23.87169387,7.426237751,35.62348512,13.54488461,0.561608555,5.075395307,8.655589124,18.50459973,2.430935482,48970,18434,12.9292428,8.106570051,5146,5.836567795,Machinery-Diversified,1499.435386,46200137
DFS UN Equity,30984830787,110.28,0.374294817,1.1835953,2.06901876,4.528138176,42.70917693,41.21473414,0.119927875,10.0663629,#N/A N/A,6.506194618,2.450011008,20227,13408,16.99089084,7.925489676,5825,2.503411749,Diversified Finan Serv,3166.766782,31246651
DG UN Equity,51516973235,226.95,0.031242112,0.958877981,1.403420332,8.714347666,37.24572534,7.011106137,1.324730635,4.038465556,20.44535505,23.27692276,1.521103536,14246.336,6261.986,16.71157078,8.268956832,1795.351,8.641432009,Retail,837.2842605,32185260
DGX UN Equity,15985116814,136.2,0.1138914,0.551275313,14.31599025,12.34873781,25.75994513,18.49276974,0.780257918,2.093236386,15.66447368,10.03975411,1.558605146,4657,6483,19.78041438,5.755185981,1830,2.498886568,Healthcare-Services,1176.34858,28282981
DHI UN Equity,26754299076,76,0.104578428,1.050912023,36.74394789,21.26417286,34.1573206,15.03481648,1.274727805,1.606203581,24.49609554,5.394361926,0.890233315,5449.4,15216.2,31.34309603,8.945609415,267,1.5945617,Home Builders,2938.815402,99581778
DHR UN Equity,1.93439E+11,266.05,0.260831803,0.873167098,32.17106444,8.089763125,15.7210156,21.84157811,0.381354758,2.03253951,31.36554622,30.1568414,6.285076809,23272,45177,11.64864988,8.416720202,7064,4.260989381,Healthcare-Products,504.0732314,42052409
DIS UN Equity,1.97941E+11,108.67,-0.343006372,1.051887393,3.104545176,2.183337875,4.990672466,2.959150375,0.380548444,2.353708695,1.693912063,45.22382325,2.580158186,58313,102224,3.486437706,8.83616448,1989,2.135368581,Media,-9505.427547,133813031
DISH UW Equity,11394888673,21.5,-0.608978391,1.067624092,15.41085628,5.054608549,15.00883938,13.48150388,0.402520372,2.942716212,3.823930404,6.138058935,0.641408243,22946.159,15923.113,8.176847912,6.490622775,2845.609,0.712022708,Media,-451.2740434,10078943
DLR UN Equity,39083349847,134.49,-0.146211311,0.726554275,13.43046909,1.227572373,2.637821165,38.60218046,0.123639615,2.130070243,1.998252272,86.32182365,8.534497721,14960.397,18523.782,1.872855375,6.666003833,-1010.559,2.259592469,REITS,-1871.203384,41409397
DLTR UW Equity,35902019036,159.88,0.398913741,1.026902318,3.182760797,6.86180135,19.03557191,5.044982752,1.23179421,2.827137125,#N/A N/A,24.33485615,1.350445882,9970.3,7718.5,10.75117383,8.525837685,410.3,4.37456059,Retail,-38.38421265,28119633
DOV UN Equity,19235725664,133.43,0.016356541,0.929263353,18.3028864,10.08907761,25.47996877,14.21280495,0.81844078,2.581508114,12.05342413,19.46009538,2.374744313,3311.192,4189.528,17.84447629,8.334183071,944.4,4.442660454,Machinery-Diversified,438.5833851,23881868
DOW UN Equity,48804666469,67.03,0.275298983,0.855639577,42.61844222,12.19261222,45.89313627,11.48122544,0.942862683,4.067320261,10.78112175,6.661304111,0.851110519,16135,18739,25.47327229,7.260714952,4722,2.58499288,Chemicals,4162.689823,49249708
DPZ UN Equity,13268910064,368.12,-0.164889246,0.871120453,5.827982681,29.04398634,#N/A N/A,11.71501728,2.628118581,#N/A N/A,4.068736119,28.1645848,3.082268356,5291.852,-4209.536,69.51447651,7.535990099,560.034,#N/A N/A,Retail,530.824567,17816194
DRE UN Equity,20479924615,53.27,0.193184435,0.874235988,11.34970066,2.727656429,4.753678838,77.12064945,0.110124421,1.745117551,2.897041637,74.60627642,18.48446342,3689.282,6138.961,3.818065384,8.164415183,-1209.42,3.280244895,REITS,-526.0314851,22198354
DRI UN Equity,15689085285,125.78,0.175403565,1.079468369,-7.823848134,9.293953649,38.81291013,8.745014661,0.916809103,4.004859748,9.483918129,17.43411839,1.74746017,5757.7,2813.1,13.92488736,8.587531184,939.1,6.916854426,Retail,407.3487915,26422323
DTE UN Equity,25591363608,132.09,0.208610952,0.610407352,30.99886195,2.98928313,12.15241653,6.061213579,0.371426274,4.032891623,2.373015873,19.70067565,1.576779397,18251,8713,5.171967934,5.556876684,-704,2.88739769,Electric,-213.4750832,24982877
DUK UN Equity,85593200000,111.16,0.177567184,0.484505296,5.149153679,2.687697387,9.59930849,15.57158226,0.15584206,3.556773378,2.356578947,19.06636946,3.27897595,68551,51136,4.364002433,5.145170522,-1425,1.802569346,Electric,-1001.577997,33842618
DVA UN Equity,9147820000,96.7,-0.076044582,0.962057114,0.590384711,5.344397831,88.74030356,8.42126771,0.668869582,15.94615427,5.980687388,11.1941323,0.849154212,11975.25,2370.98,11.54737928,6.310337456,1289.411,10.91470827,Healthcare-Services,446.8538112,20349390
DVN UN Equity,50833200000,77.02,1.626792192,1.186513662,152.8169014,15.72728779,37.627712,23.04604293,0.661441932,2.546884004,7.994845361,15.61494474,3.701542964,6760,9399,26.84900921,9.66352855,2892,5.474216966,Oil&Gas,2165.809481,38285037
DXC UN Equity,8131599015,35.25,0.472598106,1.270112038,-8.257656946,3.817785049,16.06211671,4.41438672,0.771273443,4.207182045,0.975490196,11.20826353,0.541715435,6168,5375,3.969418488,7.609301269,1247,1.65804968,Computers,-1648.642688,52611061
DXCM UW Equity,28730291923,292.79,-0.394975781,1.304151058,27.08257643,2.367574205,5.46511912,6.318153972,0.544586527,2.24475233,2.65004985,263.5361754,11.03569948,1882.1,2251.5,6.44405245,11.94475868,53.3,13.11958153,Pharmaceuticals,-233.2274986,36795623
EA UW Equity,39464998305,141,0.150995508,0.536294043,24.1961272,7.738629652,13.5547365,11.28593906,0.516169522,1.751568057,19.46551724,38.44420396,5.720937267,2231,7625,14.46879405,6.581442731,1711,5.177704918,Software,82.92317804,81533135
EBAY UW Equity,26362966137,47.09,-0.251589298,1.191252708,17.15763436,11.50796333,44.34669792,130.5950096,0.492196303,3.443736412,10.866171,12.52646482,2.877332227,9432,9778,21.10227835,9.709799627,2213,3.811793321,Internet,2570.820452,93715349
ECL UN Equity,48692779767,170.46,-0.528496087,1.098998308,7.997319808,6.425524002,18.86991699,8.873722817,0.667839584,2.9372923,6.93235039,38.99288441,3.721588653,9155.9,7253.1,10.07176081,9.15028534,1418.9,6.877036816,Chemicals,-215.4858858,20696769
ED UN Equity,34689017380,97.91,0.212061226,0.503549039,11.67728238,2.424704053,7.754180305,9.842059082,0.223094989,3.240690258,3.048543689,22.64698477,2.451230983,25364,20336,6.17927317,5.063099087,-1543,1.700860796,Electric,332.9248527,22003020
EFX UN Equity,24535531467,200.56,-0.066312306,1.036067247,19.29497274,7.757304593,22.84327229,15.11403562,0.481845678,3.058390594,7.815934066,30.32356489,4.821439083,5294.9,3601.2,13.3551367,8.893191321,865.8,6.397456431,Commercial Services,62.37429853,32053654
EIX UN Equity,26600153933,69.78,0.02127794,0.723074496,9.773162469,2.567051128,13.39128561,6.205971151,0.219149595,5.154583497,1.460929773,14.26623618,1.667426964,29533,17789,2.967227143,5.783013276,-5238,1.932476297,Electric,-1703.49173,30116513
EL UN Equity,94418277184,264.22,-0.006403115,1.153965354,13.43920526,13.34932984,47.16389793,17.69966081,0.87796602,3.978382706,15.13294798,35.17600199,5.268562792,8117,6948,22.91838985,10.22769293,2994,15.37308294,Cosmetics/Personal Care,1507.540045,105669400
EMN UN Equity,14212826896,110.22,0.142172992,1.04317534,23.639797,7.262273054,19.16542966,8.180603284,0.673791444,2.694806856,6.218446602,12.77146622,1.360807686,5366,5788,10.32004914,8.0478301,1064,2.409607204,Chemicals,-288.7825352,39393805
EMR UN Equity,53626320000,90.28,0.069681436,1.003483057,8.644623175,11.29791921,30.55799036,12.62886598,0.70953337,2.602635608,18.46987952,17.9846403,2.849036887,7233,9923,19.38457577,8.578164338,2994,5.086413548,Electrical Compo&Equip,1084.587494,58495698
ENPH UQ Equity,26511444445,196.34,1.152203202,1.702547669,78.46131,7.462918906,31.2700345,10.52415652,0.682712369,3.587287141,4.780120482,167.0483945,17.38603976,1053.396,430.168,12.75346081,14.00609103,299.77,80.0582798,Energy-Alternate Sources,-30.35488111,47350553
EOG UN Equity,83452455633,142.48,0.810888767,1.068417788,73.91185825,17.64091426,30.97147701,24.36908929,0.581246297,1.742879337,28.91943128,12.72022318,3.835944023,5907,22180,17.94690654,9.460384703,4941,3.873907204,Oil&Gas,1344.965731,37104790
EPAM UN Equity,18993607541,332.34,0.232489273,1.616094232,41.31134004,17.13306695,23.33917819,12.81621992,1.319627786,1.396950875,#N/A N/A,36.50415901,4.542732858,239.158,2495.837,22.15123887,14.21825591,460.826,7.43997441,Computers,60.23075729,16362403
EQIX UW Equity,61752831349,678.44,-0.120979562,0.824194729,10.61910847,2.199374404,5.655922831,7.538063611,0.24481,2.552768187,3.073216727,100.9465716,9.027401937,14992.526,10881.764,4.412260348,7.794889972,-406.143,5.642700163,REITS,-1091.550543,58204315
EQR UN Equity,28605503453,76.07,-0.038039338,0.933038116,-4.188194214,1.403064622,2.732227019,54.09300417,0.122916535,1.936655913,2.031766013,99.06315155,11.31057125,8653.788,11686.185,3.143056651,8.192674939,-811.083,2.653933698,REITS,-1335.15853,19450850
ES UN Equity,31832251953,92.3,-0.02216222,0.632151067,10.76604566,2.887940757,9.517886241,12.37469818,0.219368392,3.300086835,3.219530829,23.03102877,3.025298738,19828.624,14755.414,6.197982632,5.533306887,-1212.48,2.145335729,Electric,173.3968303,31171239
ESS UN Equity,18550658835,283.94,-0.079799913,0.862980962,-3.689926378,2.85373861,6.087634123,33.91426644,0.114812755,2.162249616,1.949131457,50.72745906,12.60226384,6387.221,6211.174,3.224932954,7.711689773,519.128,3.114067312,REITS,-635.9992713,16708394
ETN UN Equity,55999650000,140.35,0.158115044,0.994893551,9.911524247,6.70257476,14.68948284,10.92317098,0.570921372,2.100979485,21.38888889,24.243981,2.830892293,9036,16451,12.05711668,8.568696013,1588,3.369413504,Miscellaneous Manufactur,275.6240799,47996304
ETR UN Equity,24404916960,120,0.031731717,0.721273959,16.10953766,2.749507039,14.33606535,9.526772612,0.198748832,5.216116294,2.067395517,14.87739907,2.053542407,27293.878,11924.804,4.350858832,5.337412373,-4114.785,2.081860991,Electric,-510.3050866,33930257
ETSY UW Equity,10294098078,80.98,-0.073717415,1.5639503,34.97219848,14.91445949,68.42715749,21.18861507,0.755370931,4.548579439,47.11502276,25.20979993,4.361728307,2435.883,628.619,15.70000765,12.7978983,623.381,15.19055279,Internet,-29.36301507,63987841
EVRG UN Equity,16065774103,70.01,0.035348475,0.59694761,13.70334188,2.889537128,9.08975733,15.7463261,0.183181818,3.094666756,3.636339238,19.66187588,3.092364601,11249.5,9241.7,6.242289662,5.408421713,-620.8,1.739253046,Electric,-48.0662533,28463100
EW UN Equity,60142045423,96.73,-0.000986197,1.208556652,19.2918861,18.35022004,27.31332058,28.72623029,0.685331593,1.511949818,91.86413043,42.52204718,11.24938837,690.3,5835.9,29.0901819,11.04184062,1406.3,10.28384131,Healthcare-Products,813.3496829,27620112
EXC UW Equity,47762074451,48.73,0.347770929,0.853236318,10.01240958,2.740258107,10.99430692,4.693647344,0.285435882,3.916659202,1.715816005,15.65200563,1.502533788,43509,34795,5.404702756,6.179870586,-5110,2.032923228,Electric,12937.86434,48037196
EXPD UW Equity,18442862007,109.94,0.177083895,0.835278749,72.40024486,21.98765341,43.8922352,8.566529753,2.682724392,2.037260912,#N/A N/A,12.72453732,1.030517084,467.66,3497.991,50.73519971,8.410831314,832.247,4.790669749,Transportation,1086.167498,45817777
EXPE UW Equity,20683500429,131.66,0.147919744,1.291361928,65.3779573,-0.602546685,-9.000989283,0.139567341,0.41345305,11.28062798,0.52991453,#N/A N/A,2.089795429,8887,3552,3.623500992,10.01216107,3075,9.952241769,Internet,-814.6607146,317622430
EXR UN Equity,23942099395,178.3,0.411644965,0.760252178,16.30644766,7.540539458,24.50523337,52.47045383,0.166804176,3.508008527,5.872760752,31.89315151,14.36636472,6191.103,3785.976,10.21699491,7.201780753,-340.747,7.456499724,REITS,88.87641173,14611429
F UN Equity,54266832293,13.5,0.42161411,1.192826152,7.233530485,-0.085355339,-0.556456422,13.15598389,0.52389136,6.619146814,2.508596783,#N/A N/A,0.401049454,139485,48622,1.969496539,6.475264245,9560,1.206331717,Auto Manufacturers,-11914.94428,74533421
FANG UW Equity,27460074160,154.66,1.028004289,1.24115932,82.16623037,11.20792285,21.6954868,39.19525777,0.285569307,1.940283498,9.672473868,10.99052933,4.294909183,6687,13245,17.17717136,9.712473361,1645,2.154906595,Oil&Gas,1320.961068,35499399
FAST UW Equity,31333139944,54.44,0.040041994,0.953206837,6.438475023,23.09702497,33.27441092,15.38871051,1.474704663,1.430844617,125.5051546,31.84266228,4.971670071,636.8,3042.2,35.32540505,9.267525994,613.5,9.973190214,Distribution/Wholesale,534.1114467,7855770
FB UW Equity,5.16312E+11,190.78,-0.395545095,1.209025264,37.1825743,22.78506504,29.06981723,33.38449406,0.73024736,1.2849243,#N/A N/A,14.43116481,4.437954827,14454,124879,31.19215561,11.29017114,39116,4.201779763,Internet,20582.20435,141891726
FBHS UN Equity,9267698905,70.85,-0.11223302,0.986963272,25.70973515,9.996593719,26.92105698,10.08868745,0.992362529,2.618855196,12.91943128,12.44860421,1.244443311,2911.3,3064.8,17.97196085,7.749990718,474.5,3.179531599,Building Materials,345.2219017,25562946
FCX UN Equity,59898014248,41.33,1.129629374,1.362787247,60.90294408,11.33357124,40.64500116,18.84876341,0.53199243,3.732963484,12.41246291,11.69232022,2.466505469,9769,23019,29.63247496,11.31094571,5600,4.036806314,Mining,2610.11153,31372297
FDS UN Equity,14374930346,379.32,0.01820722,0.875850141,6.514509297,20.18632186,41.70310624,25.10862769,0.734869748,2.252451995,#N/A N/A,31.94004777,8.632590024,866.091,1016.353,25.03719057,8.415738951,493.901,11.81770795,Media,240.9655125,14149592
FDX UN Equity,56682278682,218.7,0.215876684,1.072355509,21.29823598,6.0670697,21.77306642,6.230421992,1.098651296,3.681181264,6.802555168,11.63302002,0.63364965,36462,24168,9.902480476,7.426695416,4251,2.311109757,Transportation,-1562.797299,43240606
FE UN Equity,23910643049,41.88,-0.066835374,0.681187928,3.169601483,3.04600266,16.77219981,11.52533238,0.256835035,5.64957265,1.419407895,17.21306971,2.028802135,24164,8675,5.304893042,5.533952302,366,2.73108437,Electric,-265.6130064,28188148
FFIV UW Equity,10069196716,166.51,-0.012848497,0.911006093,10.74492241,8.911648818,19.41440721,12.72332197,0.553300338,2.106747965,#N/A N/A,23.96531736,3.796190028,715.278,2360.213,14.78426772,8.914333734,614.545,4.200037219,Internet,16.10536731,28019369
FIS UN Equity,63410269722,103.82,-0.463150471,0.921620011,10.55608668,2.211262926,3.786677182,3.004972256,0.173023882,1.725588999,4.884259259,35.39333053,4.496497073,20877,47532,1.652696211,7.680518022,4490,1.348913788,Software,-4229.720263,76310215
FISV UW Equity,64426096459,99.67,-0.259263933,0.909929156,9.251279289,3.329784248,7.928962031,8.221373105,0.220996607,2.384058658,3.287356322,26.47703672,3.960136465,21974,31950,4.957999646,7.595134949,2874,2.062115912,Software,-2006.660338,51862923
FITB UW Equity,26702524060,38.92,0.316161931,1.024046779,-0.868840752,1.208405241,13.25547062,35.11663286,0.039439906,10.11939935,#N/A N/A,10.85004115,3.28121337,13602,22210,8.5810203,7.565696847,2395,1.494676992,Banks,-645.3265456,22777239
FLT UN Equity,18845637122,243.67,-0.339911789,1.057064056,18.62318977,7.11391823,29.42534849,29.62509563,0.235047548,3.953594918,#N/A N/A,22.02776366,6.513308983,6077.868,2866.58,15.05260134,8.365604063,1085.533,6.488466336,Commercial Services,255.2854652,18099321
FMC UN Equity,15278952843,121.32,0.013340505,0.882059038,8.683569936,9.051110976,31.81485571,14.59803377,0.487657128,3.464574679,7.768773234,16.07437987,2.973181615,3336,3051.9,15.19119958,7.912441022,720,4.994590829,Chemicals,390.4944594,16278057
FOX UW Equity,18394094024,31.65,-0.028882284,0.722726762,4.925627896,6.731429335,13.57192227,16.65504687,0.615764753,2.105669982,6.911392405,#N/A Field Not Applicable,#N/A Field Not Applicable,8452,11386,14.48736999,6.458621439,2155,#N/A Field Not Applicable,Media,123.0103823,91131054
FOXA UW Equity,18394094024,34.13,0.039734192,0.721508265,4.925627896,6.731429335,13.57192227,16.65504687,0.615764753,2.105669982,6.911392405,12.96797108,1.412134828,8452,11386,14.48736999,6.458621439,2155,1.700804549,Media,123.0103823,91131054
FRC UN Equity,27624683500,153.74,-0.007250458,1.135923743,17.81918682,0.832914576,12.24782946,29.43044255,0.032241099,14.40020611,#N/A N/A,19.51015298,4.96175874,6882,15898,7.517834267,8.523224835,1006,2.205933269,Banks,-503.7302459,73192168
FRT UN Equity,8888711694,111.92,-0.020552535,0.926213145,13.85168535,2.408166501,7.63978719,27.49068568,0.129069703,3.22342889,2.027454033,47.73385652,8.790314301,4192.24,2876.856,4.559377503,7.404844006,-335.628,3.593072783,REITS,-332.6739262,16388497
FTNT UW Equity,47618766953,296.64,0.454229474,1.380970597,28.8236201,11.65270741,106.3016654,18.15570582,0.656105659,6.08389815,43.65100671,77.77541319,13.44523687,1055.2,798.4,41.88152666,12.24381795,1203.8,218.4262487,Computers,520.2683009,28806058
FTV UN Equity,22431669519,62.58,-0.161133334,1.035461903,13.38468842,4.961344436,8.160607968,11.57820618,0.35164166,1.759920764,7.875968992,29.58231728,4.126197282,4143.5,9517,6.57478419,8.909726647,911.1,2.345751946,Electronics,-328.8238997,43288505
GD UN Equity,63908278115,230.13,0.160799414,0.890544653,1.43441002,6.503436171,19.66180968,8.466557488,0.76303811,3.044291634,9.658932715,19.70291138,1.666874892,13175,17641,13.30222079,7.934155274,3384,3.547700648,Aerospace/Defense,1140.280242,49558970
GE UN Equity,84718183357,76.97,0.041431285,1.03882885,-2.158690807,-0.496883043,-2.992642399,-8.787535716,0.338809265,5.999881343,1.959488273,#N/A N/A,1.143720193,38033,41612,2.907871417,8.5065322,2082,2.172316847,Miscellaneous Manufactur,1330.849807,57002073
GILD UW Equity,79586188276,63.45,-0.260407209,0.630494058,10.5958119,11.34241644,38.09259497,22.79802234,0.420794657,3.472256882,9.908091908,10.80826224,2.899811045,27285,21064,15.17012588,6.09690625,10805,3.996073215,Biotechnology,3165.146551,44348568
GIS UN Equity,41185280800,68.39,0.053514645,0.556583226,2.838891221,7.246959679,24.71782369,12.90781707,0.583929798,3.574017765,7.298213042,18.16616058,2.238086686,13006.4,10378.1,13.0821243,5.959510888,2452.4,4.196971092,Food,1108.613164,31169978
GL UN Equity,9505001633,96.4,-0.060569376,0.918297887,7.913766397,2.557275828,9.71818081,14.57027356,0.184216156,3.377462013,#N/A N/A,13.75401032,1.893012435,2026.138,8642.806,3.58990337,7.875120249,1399.436,1.382575424,Insurance,-595.249052,28304926
GLW UN Equity,30270911928,35.84,0.094961353,1.017046809,24.58639299,3.521192053,9.064098193,13.53500923,0.479205298,2.616101331,6.285714286,29.28767389,2.097596346,7844,12545,10.16482876,8.774149997,1775,2.391261003,Telecommunications,-189.7919086,46453659
GM UN Equity,54836241720,37.61,0.001426089,1.202281952,3.689431359,3.778707213,16.76234629,7.888727914,0.532795268,4.580449348,9.814736842,5.97132946,0.418984481,110391,65815,4.785916875,6.332425097,7679,0.908527271,Auto Manufacturers,-3879.2798,69066856
GNRC UN Equity,17162597225,268.88,0.633269906,1.376620889,50.37759536,12.11724543,27.10486878,14.73018187,0.948393285,2.251124355,21.88377386,34.12277204,4.163921231,1083.975,2272.137,22.1356062,11.81434139,301.164,7.437926362,Electrical Compo&Equip,199.4423887,16234188
GOOG UW Equity,1.50866E+12,2291.28,0.202642113,1.112226009,41.15007643,20.56224651,29.06613611,29.51167728,0.790229629,1.431704061,227.4971098,#N/A Field Not Applicable,#N/A Field Not Applicable,28508,251635,29.92240684,10.65108438,67012,#N/A Field Not Applicable,Internet,40264.14499,92952829
GOOGL UW Equity,1.50866E+12,2290.82,0.197955683,1.120161176,41.15007643,20.56224651,29.06613611,29.51167728,0.790229629,1.431704061,227.4971098,21.94814598,5.628511676,28508,251635,29.92240684,10.65108438,67012,5.94127455,Internet,40264.14499,92952829
GPC UN Equity,19249865673,135.95,0.180192009,0.939909101,14.10785459,6.785206494,29.62696778,4.762934335,1.303936604,4.150871371,18.71150442,19.03985582,0.985368149,3479.113,3503.29,16.38162099,8.035945936,992.149,5.354750912,Retail,443.5903782,24556526
